word,primary_pos,primary_zh,secondary_pos,secondary_zh,keep_secondary,dominance,source_pos_count,source_pos_share
damp,adj.,潮湿的,n.,潮湿、湿气,no,0.851,0,0.000
dare,v.,敢、胆敢,n.,挑战、挑动、大胆,no,0.918,2,0.000
dark,adj.,黑暗的、暗的、深色的,n.,黑暗、夜、黄昏,yes,0.877,2140,0.123
degenerate,v.,退化、堕落,adj.,堕落的,no,0.988,0,0.000
despatch,n.,派遣,v.,派遣,yes,0.671,20,0.127
digest,v.,消化,n.,文摘,no,0.871,0,0.000
dip,n.,浸、涉猎,v.,浸、降下、把(手、勺等)伸入,yes,0.693,983,0.292
disguise,v.,假装、隐瞒,n.,假面目、假装,no,0.984,4,0.003
dislike,v.,讨厌、不喜欢,n.,嫌恶,yes,0.681,210,0.317
drum,v.,击鼓、作鼓声,n.,鼓、鼓声,yes,0.757,351,0.081
due,adj.,到期的、应得的、应付的,n.,应得的东西、应付款,no,0.985,0,0.000
duplicate,v.,复制、使加倍,n.,副本、复本、复制品,no,1.000,0,0.000
eccentric,adj.,古怪的、反常的、不同圆心的,n.,怪人、偏心圆,no,0.988,0,0.000
echo,v.,发回声、随声附和,n.,回声、回音、回波,no,0.704,0,0.000
eclipse,v.,引起日食、引起月食、使黯然失色,n.,日食、月食、(地位名誉等的)消失,no,0.872,0,0.000
Egyptian,adj.,埃及的、埃及人的,n.,埃及人,yes,0.969,0,0.000
elastic,adj.,有弹性的、能伸缩的、可通融的,n.,松紧带、橡皮筋,yes,0.878,37,0.069
elder,adj.,年长的、资深的,n.,年长者、老人、前辈,no,0.783,0,0.000
else,adv.,另外、否则、不然,adj.,别的、其他的,yes,0.976,1530,0.024
embrace,v.,拥抱、互相拥抱、包含,n.,拥抱,no,0.990,7,0.005
employ,v.,雇用、使用、使从事于,n.,雇用,no,0.999,0,0.000
enough,adv.,足够,n.,充足、够、很多,no,0.700,448,0.005
equal,adj.,相等的、平等的、胜任的,n.,对手、匹敌、同辈,no,0.918,0,0.000
erect,v.,使竖立、使直立、树立,adj.,直立的、竖立的、笔直的,no,0.988,0,0.000
essential,adj.,必要的、重要的、本质的,n.,要素、要点、本质,no,0.998,0,0.000
European,adj.,欧洲的、欧洲人的,n.,欧洲人,no,0.735,1,0.000
even,adv.,甚至、实际上、完全,adj.,平坦的、相等的、连贯的,no,0.999,85,0.001
evil,adj.,邪恶的、不幸的、有害的,n.,邪恶、不幸、罪恶,yes,0.691,1063,0.187
exempt,adj.,免除的,n.,免税者、被免除义务者,no,0.907,0,0.000
explosive,adj.,易爆发的、爆炸的、暴躁的,n.,炸药、爆破音,no,0.983,0,0.000
external,adj.,外部的、客观的、表面的,n.,外部、外面,no,0.972,0,0.000
extra,adj.,额外的、特别的,n.,额外的事物、另外的收费,no,0.983,37,0.002
extract,v.,(费力地)取出、采掘、榨取,n.,榨出物、精汁、摘录,yes,0.997,0,0.000
extreme,adj.,极端的、尽头的、极度的,n.,极端、末端,yes,0.883,478,0.090
fahrenheit,n.,华氏温度计,adj.,华氏温度计的,no,1.000,0,0.000
faint,adj.,模糊的、微弱的、无力的,n.,昏厥、昏倒,no,0.790,3,0.003
fair,adj.,公平的、按规则进行的、不好不坏的,n.,展览会、市集、美好的事物,yes,0.847,842,0.029
fake,adj.,假的,n.,假货、欺骗、诡计,yes,0.857,597,0.092
fall,v.,倒下、落下、来临,n.,落下、瀑布、采伐量,yes,0.677,6642,0.323
fancy,adj.,想象的、精美的、新奇的,n.,想象力、幻想、喜好,yes,0.795,1096,0.099
far,adv.,甚远地、很、到很深的程度,adj.,远的、久远的、遥远的,yes,0.952,3019,0.037
farther,adv.,更远的、此外、far的比较级,adj.,更远的、进一步的,no,0.967,1,0.007
fast,adv.,很快地、紧紧地、彻底地,adj.,快速的、紧的,yes,0.663,8097,0.326
fat,adj.,肥的、胖的、油腻的,n.,脂肪、脂油、肥肉,yes,0.746,1795,0.152
favorite,adj.,特别受喜爱的、喜爱的、宠爱的,n.,喜欢的事物、幸运儿,no,0.875,1,0.031
feed,v.,喂、饲养、放牧,n.,饲料、一餐、饲养,yes,0.763,2291,0.235
festival,n.,节日、庆祝、欢宴,adj.,节日的、喜庆的、快乐的,no,0.653,0,0.000
fetch,v.,接来、取来、售得,n.,取得、拿、诡计,yes,0.966,84,0.028
final,adj.,最后的、终极的、决定性的,n.,期末考试、结局、决赛,no,0.977,0,0.000
fine,adj.,好的、晴朗的、健康的,n.,罚款、罚金、晴天,yes,0.710,9599,0.172
first,adj.,第一的,adv.,首先、第一、优先,yes,0.691,71368,0.238
float,v.,浮动、飘动、散播,n.,漂流物、浮舟、漂浮,yes,0.659,603,0.328
fluorescent,adj.,荧光的,n.,荧光,yes,0.775,21,0.105
fly,v.,飞、飞翔、飘扬,n.,苍蝇、两翼昆虫、飞行,yes,0.768,3739,0.232
fold,v.,折叠、包、合拢,n.,折层、折、羊栏,no,0.995,2,0.001
forfeit,v.,没收、丧失,n.,没收物、罚金、丧失,yes,0.904,32,0.068
forge,v.,打制、锻造、伪造,n.,熔炉、铁工厂,no,0.830,0,0.000
forward,adv.,向前地,adj.,向前的、早的、迅速的,yes,0.966,523,0.012
French,adj.,法国的、法国人的、法语的,n.,法国人、法文、法式,yes,0.862,7,0.000
full,adj.,充满的、完全的、丰富的,n.,全部、完整,no,0.973,16,0.000
fundamental,adj.,基本的、重要的、原音的,n.,基本原理、原则、基波,no,1.000,0,0.000
gasp,v.,喘气、喘息、渴望,n.,喘气,yes,0.701,35,0.083
gather,v.,聚集、集合、渐增,n.,集合、聚集,no,0.993,1,0.000
gaze,v.,注视、凝视,n.,注视、凝视,no,0.923,0,0.000
general,adj.,全面的、大体的、总的,n.,一般、将军、大体,yes,0.656,592,0.026
German,adj.,德国的、德国人的、德国语的,n.,德国人、德语,yes,0.942,3,0.000
giant,adj.,庞大的、巨大的,n.,巨人、大力士、巨大怪物,yes,0.688,1970,0.224
giggle,n.,咯咯笑、傻笑,v.,吃吃地笑、咯咯地笑,yes,0.772,23,0.032
give,v.,给、授予、供给,n.,弹性、适应性,no,1.000,0,0.000
glide,v.,滑动、滑翔、溜走,n.,滑动、滑过、流水,no,0.954,0,0.000
good,adj.,好的、优良的、上等的,n.,善行、好处、利益,no,0.996,826,0.002
grab,v.,抓取、抢去,n.,抓握、掠夺、强占,yes,0.939,353,0.049
graze,v.,(使)吃草、放牧、轻擦,n.,吃草、放牧、擦伤,no,0.989,0,0.000
Greek,adj.,希腊的、希腊人的,n.,希腊人、希腊语,yes,0.999,1,0.000
green,adj.,绿色的、未成熟的、新鲜的,n.,绿色、绿色颜料,yes,0.713,1585,0.048
grind,v.,磨擦、磨碎、磨光,n.,磨、碾、苦差,yes,0.694,217,0.251
gross,adj.,总共的、未打折扣的、恶劣的,n.,总数、总量,no,0.733,0,0.000
grumble,v.,抱怨、发牢骚、发隆隆声,n.,怨言、满腹牢骚,no,0.870,0,0.000
guess,v.,猜测、臆测,n.,猜测、臆测,yes,0.669,6695,0.229
hamper,v.,阻碍、使困累、妨碍,n.,食篮、阻碍物、食盒,no,0.985,3,0.009
handle,v.,触摸、运用、买卖,n.,柄、把手、把柄,yes,0.997,1,0.000
hate,v.,憎恨、憎恶,n.,憎恨、恨、厌恶,yes,0.895,1198,0.091
haunt,v.,常到、出没于、萦绕于,n.,常到的地方、生息地,no,0.995,0,0.000
help,v.,帮助、帮忙、接济,n.,帮忙、帮助者、补救办法,yes,0.754,27680,0.246
hide,v.,藏、隐瞒、遮避,n.,兽皮、迹象、躲藏处,no,0.992,1,0.000
high,adj.,高的、高级的、主要的,n.,高度、高处,no,0.871,193,0.003
hinder,v.,阻碍、打扰,adj.,后面的,no,1.000,0,0.000
hinge,v.,装铰链,n.,铰链、关键、枢纽,no,0.953,0,0.000
hire,v.,雇请、出租,n.,租金、租用、雇用,yes,0.684,642,0.294
hit,v.,打、打击、碰撞,n.,打击、打、冲撞,yes,0.835,6748,0.164
hold,v.,保存、握住、拿住,n.,把握、把持力、柄,yes,0.869,5575,0.131
hollow,adj.,空的、虚伪的、空腹的,n.,洞、窟窿、山谷,no,0.890,1,0.001
hope,v.,希望、期望、信赖,n.,希望、信心、期待,yes,0.697,17965,0.244
horizontal,adj.,水平线的、平坦的、横的,n.,水平线、水平面、水平位置,yes,0.966,8,0.015
human,adj.,人类的、似人类的、人性的,n.,人、人类,no,0.912,116,0.005
humanitarian,adj.,人道主义的、博爱的、凡人论的,n.,人道主义者、博爱者、基督凡人论者,no,0.987,0,0.000
hurl,v.,用力投掷、发射、愤慨地说出,n.,用力的投掷,no,0.893,0,0.000
ideal,adj.,理想的、完美的、空想的,n.,理想、典范、观念,yes,0.823,879,0.124
illiterate,adj.,目不识丁的、没受教育的,n.,文盲,yes,0.810,15,0.077
immigrant,adj.,移入的、移民的,n.,移民,yes,0.997,0,0.000
immortal,adj.,永远的、不死的、长久的,n.,不朽人物、神仙,no,0.888,2,0.005
imperative,adj.,命令式的、急需的、势在必行的,n.,命令、必要的事、规则,yes,0.736,155,0.263
implement,v.,实现、使生效、执行,n.,工具、器具、手段,no,0.996,5,0.003
impress,v.,使有印象、印、铭刻,n.,印象、特征、印记,no,0.999,5,0.001
independent,adj.,独立的、有主见的、不须依赖的,n.,独立自主者、无党派者,no,0.852,1,0.000
Indian,adj.,印度的、印度群岛的、印第安语的,n.,印度人、印第安人、印第安语,no,0.868,1,0.000
individual,adj.,个别的、个人的、独特的,n.,人、个人、个体,yes,0.760,2480,0.239
initial,adj.,开始的、最初的、字首的,n.,字首、首字母,no,1.000,0,0.000
initiate,v.,开始、传授基本知识给,n.,入会、开始,yes,0.913,20,0.083
insert,v.,插入、把(人造卫星)射入(轨道)、添写,n.,插入物,yes,0.879,47,0.114
integral,adj.,固有的、整体的、整数的,n.,整体、积分、整数,no,0.998,0,0.000
intellectual,adj.,智力的、用脑力的、聪明的,n.,有知识者、知识分子、凭理智做事者,yes,0.943,43,0.036
intermediate,adj.,中间的、中级的,n.,中间物、调停者、中级,no,0.963,0,0.000
invariable,adj.,不变的、常数的,n.,不变的东西、常数,no,1.000,0,0.000
Iraqi,adj.,伊拉克的、伊拉克人的,n.,伊拉克人、伊拉克阿拉伯语,yes,1.000,0,0.000
irregular,adj.,不规则的、不整齐的、不合法的,n.,不规则物、不合规格之物,no,0.973,0,0.000
Italian,adj.,意大利的、意大利语的,n.,意大利人、意大利语,yes,0.980,2,0.000
Japanese,adj.,日本的、日语的,n.,日本人、日语,yes,0.920,69,0.012
joint,adj.,共同的、联合的、连接的,n.,连接处、接合、关节,yes,0.700,840,0.209
just,adv.,刚刚、正好、仅仅,adj.,正直的、合理的、正确的,no,1.000,75,0.000
juvenile,adj.,少年的、不成熟的、适于少年的,n.,少年、少年读物,no,0.968,1,0.002
keep,v.,保持、保存、遵守,n.,生计、维持、保持,no,1.000,0,0.000
kill,v.,杀、破坏、消灭,n.,杀、杀戮、小河,yes,0.926,1216,0.074
lash,v.,鞭打、摆动、扎捆,n.,鞭子、鞭打、睫毛,yes,0.957,5,0.017
latent,n.,隐约指纹,adj.,潜伏性的、隐藏的,no,0.987,0,0.000
least,adj.,最少的、最小的,n.,最少、最小、最小限度,no,0.988,1,0.000
leave,v.,离开、剩下、遗忘,n.,许可、告别、请假,yes,0.962,2351,0.038
less,adj.,少的、小的,n.,较少、较小,no,0.690,1,0.000
liberal,adj.,慷慨的、不拘泥的、宽大的,n.,自由主义者,no,0.796,84,0.006
limp,adj.,柔软的、无力的、软弱的,n.,跛行,no,0.967,0,0.000
literate,adj.,有读写能力的、精通文学的、受过教育的,n.,学者,yes,0.651,35,0.211
little,adj.,小的、很少的、幼小的,n.,一点点、少许、一会儿,no,0.928,1,0.000
live,v.,活、生存、居住,adj.,活的、生动的、精力充沛的,yes,0.783,11903,0.186
locomotive,adj.,运转的、火车头的、移动的,n.,火车头、机车,yes,0.784,80,0.186
log,v.,伐木、切、航行,n.,记录、圆木、日志,no,0.957,0,0.000
look,v.,看、注意、朝着,n.,一看、神色、样子,yes,0.765,80257,0.235
loom,v.,朦胧地出现、隐约可见、可怕地出现,n.,织布机、若隐若现的景象,no,0.871,0,0.000
loose,adj.,宽松的、松的、宽的,n.,发射、放任、放纵,no,0.788,0,0.000
low,adj.,低的、消沉的、低等的,n.,低点、低价、低,no,0.946,173,0.007
maiden,adj.,未婚的、处女的、初次的,n.,年轻未婚女子、少女、处女,yes,0.680,237,0.145
main,adj.,主要的、重要的、全力的,n.,主要部分、干线、体力,no,0.970,4,0.000
major,adj.,主要的、较多的、大部分的,n.,主修课、成年人、陆军少校,no,0.906,18,0.001
manifest,adj.,显然的、明白的,n.,载货单、运货单、旅客名单,no,0.942,0,0.000
marvel,v.,惊异于,n.,奇异事物、罕见例子,no,0.790,1,0.002
masculine,adj.,男性的、阳性的、有丈夫气的,n.,阳性、男性,no,0.995,0,0.000
mean,v.,意谓、想要、意欲,adj.,低劣的、卑贱的、简陋的,yes,0.947,3077,0.030
medical,adj.,医学的、内科的、药的,n.,医生、体格检查,no,0.920,0,0.000
meet,v.,遇见、引见、认识,n.,会、集会,no,0.976,0,0.000
melancholy,adj.,忧郁的、使人悲伤的、愁思的,n.,忧郁、悲哀、愁思,no,0.929,0,0.000
mention,v.,提到、提及,n.,提到、言及、陈述,yes,0.836,1196,0.161
mere,adj.,仅仅的、只不过的,n.,小湖、池塘,no,0.941,0,0.000
mighty,adj.,有势力的、强大的、有力的,n.,有势力的人,no,0.754,1,0.000
military,adj.,军事的、军人的、适于战争的,n.,军队,yes,0.875,1210,0.091
missionary,adj.,传教的、传教士的,n.,传教士、负有任务者、工作人员,no,0.950,0,0.000
moan,v.,呻吟、抱怨、悲叹,n.,呻吟、悲叹,yes,0.974,9,0.016
mock,adj.,假的、伪造的、模拟的,n.,嘲笑、戏弄、模仿,no,0.799,1,0.001
modern,adj.,现代的、时髦的,n.,现代人、有思想的人,no,0.942,8,0.000
monthly,adj.,每月的、每月一次的,n.,月刊,no,0.970,1,0.001
mop,v.,用拖把洗擦、擦、拭,n.,拖把、鬼脸,no,0.973,0,0.000
moral,adj.,道德的、品性端正的、精神上的,n.,道德、品行、寓意,no,0.995,0,0.000
move,v.,移动、开动、感动,n.,移动、迁居、步骤,yes,0.734,16393,0.266
multiple,adj.,多样的、许多的、多功能的,n.,倍数、并联,yes,0.966,53,0.020
musical,adj.,音乐的、声音美妙的、喜爱音乐的,n.,音乐片、音乐舞台剧,yes,1.000,0,0.000
mute,adj.,哑的、无声的、沉默的,n.,哑子、哑音字母、弱音器,no,0.875,0,0.000
narrow,adj.,狭窄的、仔细的、有限的,n.,狭窄部分、隘路,no,0.914,0,0.000
native,adj.,本国的、与生俱来的、自然的,n.,本地人、土产、当地人,yes,0.874,294,0.093
natural,adj.,自然的、自然界的、本能的,n.,白痴,no,0.969,192,0.012
need,v.,需要、必需,n.,需要、必须、缺乏,yes,0.923,16542,0.070
negative,adj.,否定的、消极的、负的,n.,否定、否定语、负数,no,0.996,15,0.003
neutral,adj.,中立的、中性的、无色的,n.,中立者、中立国、非彩色,no,0.996,0,0.000
next,adj.,下一个的、其次的、贴近的,n.,下一个,no,0.939,3,0.000
noble,adj.,高贵的、高尚的、贵族的,n.,贵族,no,0.726,0,0.000
northward,adv.,向北,n.,北方、北,no,0.879,0,0.000
notable,adj.,值得注意的、显著的,n.,著名人士、值得注意之事物,no,1.000,0,0.000
nurture,v.,养育、供给营养物、教养,n.,养育、营养物、培育,no,0.991,2,0.006
official,adj.,公务的、官方的、正式的,n.,官员、公务员、职员,yes,0.778,1529,0.202
offset,v.,弥补、抵消、胶印,n.,抵消、把...并列、旁系,no,0.993,0,0.000
old,adj.,老的、旧的、古老的,n.,以前、往昔,no,0.947,0,0.000
olive,adj.,黄绿色的、黄褐色的、橄榄色的,n.,橄榄、橄榄树、橄榄色,yes,0.766,137,0.035
only,adv.,只有、仅仅、只能,adj.,唯一的、仅有的、最佳的,yes,0.778,46713,0.222
optimum,adj.,最优的、最适宜的,n.,最适条件、最佳效果,no,0.936,1,0.005
oral,adj.,口头的、口述的、口部的,n.,口试,no,0.985,0,0.000
oriental,adj.,东方诸国的、亚洲的、东方的,n.,东方人、亚洲人,no,0.999,1,0.001
ornamental,adj.,装饰性的、装饰的、观赏用的,n.,装饰物、观赏植物,no,0.998,0,0.000
orphan,adj.,无双亲的、孤儿的,n.,孤儿,no,0.960,0,0.000
overhaul,n.,分解检查、精细检查、大检修,vt.,分解检查、翻修、精细检查,yes,0.749,122,0.172
overlap,v.,重叠、重复、与...同时发生,n.,重叠、重复、部分的同时发生,no,0.991,0,0.000
overload,n.,超载、负荷过多,vt.,超载、过载、超过负荷,no,0.944,0,0.000
overnight,adj.,通宵的、晚上的、前夜的,n.,前一天晚上、一夜的逗留,no,0.813,0,0.000
overthrow,v.,打倒、推翻、倾覆,n.,推翻、瓦解、倾覆,no,1.000,0,0.000
overturn,v.,推翻、颠倒,n.,倾覆、破灭、革命,no,0.992,2,0.008
own,adj.,自己的、嫡亲的、同胞的,n.,自己的,no,0.955,1,0.000
pale,adj.,苍白的、暗淡的、无力的,n.,栅栏、界线、范围,yes,0.784,131,0.086
pan,v.,上下左右移动、摇镜头、淘洗,n.,平锅、浅盘、盆地,no,0.862,0,0.000
particular,adj.,特别的、独有的、挑剔的,n.,一项(或条、点)、个别项目、详细说明,no,0.999,7,0.000
pay,v.,支付、付清、补偿,n.,薪资、付款、补偿,yes,0.812,9550,0.188
pedestrian,adj.,人行的、徒步的、呆板的,n.,行人、步行者,yes,0.706,114,0.289
peer,v.,凝视、窥视、费力地看,n.,同等的人、匹敌、贵族,no,0.892,0,0.000
perfect,adj.,完美的、完好的、理想的,n.,完成时,no,0.844,0,0.000
periodical,adj.,定期出版的、(有关)期刊的、间歇(性的),n.,期刊,no,0.960,0,0.000
perpendicular,adj.,垂直的、直立的、陡峭的,n.,垂直线、垂直的位置、直立(姿势),no,0.979,0,0.000
pick,v.,摘、掘、凿,n.,精选、选择、掘,yes,0.913,2564,0.087
pine,v.,消瘦、憔悴、痛苦,n.,松树、松木,no,0.870,0,0.000
pink,adj.,粉红的、石竹科的、比较激进的,n.,粉红色、石竹花、化身,no,0.897,0,0.000
plague,v.,折磨、使苦恼、使得灾祸,n.,瘟疫、天罚、麻烦,yes,0.855,30,0.027
plain,adj.,简单的、明白的、平常的,n.,平原、草原、朴实无华的东西,yes,0.743,425,0.093
play,v.,玩、游戏、假装,n.,游戏、游玩、玩笑,yes,0.689,27936,0.284
please,v.,使高兴、合...的心意、取悦,adv.,请,no,0.864,0,0.000
pluck,v.,摘、猛拉、拔,n.,勇气、猛拉、动物内脏,no,0.979,2,0.004
plural,adj.,复数的、两个以上的,n.,复数,yes,0.760,28,0.143
pose,v.,摆姿势、装模作样、假装,n.,姿势、姿态、装模作样,yes,0.989,17,0.010
postulate,v.,要求、假定,n.,假定、基本条件,no,1.000,0,0.000
precipitate,v.,猛抛、使陷入、促成,n.,沉淀物、凝结物、结果,no,0.689,4,0.089
preliminary,adj.,初步的、开始的、预备的,n.,初步做法、初步措施、预试,no,1.000,0,0.000
pretty,adv.,相当、颇,adj.,漂亮的、优美的、机灵的,yes,0.877,2520,0.039
primary,adj.,主要的、初期的、根本的,n.,最主要者、原色,yes,0.976,124,0.024
primitive,adj.,原始的、上古的,n.,原始人、早期艺术家,no,0.994,0,0.000
produce,v.,产生、生产、提出,n.,生产品、物产、后代,yes,0.842,1601,0.158
professional,adj.,专业的、职业的,n.,专业人才,yes,0.930,353,0.036
proficient,adj.,精通的、熟练的,n.,高手、专家,no,1.000,0,0.000
progressive,adj.,前进的、累进的、进步的,n.,改革论者、进步论者,no,0.961,0,0.000
public,adj.,公众的、公共的、公立的,n.,公众、民众,yes,0.707,14536,0.259
purple,adj.,紫色的、帝王的、华而不实的,n.,紫色、帝位,no,0.776,0,0.000
push,v.,推、推动、使伸出,n.,推、推动、奋斗,yes,0.723,4583,0.274
quarrel,v.,吵架、争论、挑剔,n.,吵架、反目、怨言,no,0.990,2,0.010
radical,adj.,激进的、根本的、基本的,n.,激进分子、词根、基础,no,0.975,0,0.000
raise,v.,升起、举起、唤起,n.,上升、高地、增高,yes,0.977,315,0.022
rash,n.,皮疹,adj.,轻率的、匆忙的、鲁莽的,yes,0.794,143,0.173
