word,primary_pos,primary_zh,secondary_pos,secondary_zh,keep_secondary,dominance,source_pos_count,source_pos_share
rough,adj.,粗糙的、粗暴的、蓬乱的,n.,粗糙的东西、毛坯、未加工品,no,0.956,0,0.000
roundabout,n.,迂回路线,adj.,迂回的、委婉的,yes,0.799,47,0.044
routine,adj.,日常的、常规的,n.,常规、日常工作、惯例,yes,0.679,1587,0.320
ruin,v.,毁灭、衰败、破坏,n.,毁灭、推翻、废墟,yes,0.995,6,0.002
run,v.,跑、奔跑、跑步,n.,跑、赛跑、奔跑,yes,0.709,13600,0.220
Russian,adj.,俄国的、俄语的,n.,俄国人、俄语,yes,0.838,0,0.000
safe,adj.,安全的、可靠的、平安的,n.,保险箱、冷藏室,no,0.967,33,0.001
save,v.,解救、挽救、储蓄,n.,救球,no,0.842,0,0.000
saw,v.,锯、锯开、来回移动,n.,锯子、谚语,yes,0.971,1375,0.027
scan,v.,细看、浏览、扫描,n.,审视、浏览、扫描,no,0.993,7,0.003
scare,v.,惊吓、使恐慌,n.,惊吓、恐慌,yes,0.695,803,0.267
scorn,v.,轻蔑、不屑做,n.,轻蔑、藐视、嘲笑,no,1.000,0,0.000
scrape,v.,刮掉、擦掉、刮出刺耳声,n.,刮、擦、挖,yes,0.761,189,0.233
second,adj.,第二的、其次的、次要的,n.,秒、瞬间、第二名,yes,0.896,2477,0.030
segregate,v.,分离、隔离、分凝,adj.,分离的、被隔离的,no,1.000,0,0.000
seldom,adv.,很少、不常,adj.,不常的、稀少的,no,1.000,0,0.000
senior,adj.,年长的、高级的、资深的,n.,年长者、资深者、毕业班学生,no,0.959,4,0.000
separate,adj.,分开的、各别的、单独的,n.,独立件、抽印本,no,0.845,0,0.000
serial,adj.,连续的、一连串的、连载的,n.,分期连载作品、连载小说,yes,0.841,150,0.158
set,v.,放、安置、放置,n.,日落、同伙、组合,yes,0.726,19470,0.258
settle,v.,决定、整理、安放,n.,有背长椅,no,1.000,0,0.000
shallow,adj.,浅的、肤浅的,n.,水浅的地方、浅滩,no,0.950,0,0.000
sharp,adj.,锋利的、明显的、敏锐的,n.,半升音调、利刃、骗子,no,0.887,1,0.000
shave,v.,修面、剃、修剪,n.,修面、刮胡子、幸免,no,0.970,7,0.007
shed,v.,使流出、放射、脱落,n.,车棚、小屋、脱落之物,no,1.000,0,0.000
shoot,v.,射击、射中、损毁,n.,射击、狩猎、芽,yes,0.705,1932,0.284
shove,v.,推挤、猛推、强使,n.,推、挤,no,1.000,0,0.000
shower,v.,淋浴、下阵雨,n.,阵雨、淋浴、一阵,no,0.989,57,0.009
shrug,v.,耸肩,n.,耸肩,no,0.990,1,0.005
shut,v.,关上、闭起、幽禁,n.,关闭,no,0.996,3,0.000
shy,adj.,胆怯的、畏缩的、迟疑的,n.,惊跳、惊避,no,0.910,5,0.001
sick,adj.,不舒服、有病的、恶心的,n.,病人,yes,0.976,155,0.013
singular,adj.,异常的、单一的,n.,单数,no,0.980,0,0.000
skip,v.,跳越、跳读、跳绳,n.,跳跃、跳读,yes,0.957,45,0.018
sleep,v.,睡觉、睡眠、静止,n.,睡眠、静止、昏迷,yes,0.726,4477,0.253
slight,adj.,轻微的、纤细的、脆弱的,n.,轻蔑、怠慢,no,0.998,0,0.000
smash,v.,打碎、粉碎、击溃,n.,打碎、粉碎、打碎时哗啦声,yes,0.657,748,0.311
snatch,v.,夺取、攫取,n.,抢夺、攫取、片断,no,0.877,1,0.002
sniff,v.,嗅、蔑视、嗤之以鼻,n.,以鼻吸气、嗅、气息,yes,0.918,97,0.064
snore,v.,打鼾,n.,鼾声、打鼾,yes,0.708,49,0.234
soak,v.,使上下湿透、浸、吸入,n.,浸、湿透、大雨,no,0.997,2,0.002
soar,v.,往上飞舞、高耸、翱翔,n.,高扬、翱翔,no,0.892,1,0.002
sole,adj.,唯一的、仅有的、单独的,n.,脚掌、鞋底、底部,yes,0.686,401,0.229
solid,adj.,坚硬的、稳固的、固体的,n.,固体,no,0.998,0,0.000
solitary,adj.,孤独的、独居的,n.,独居者,no,0.996,0,0.000
somewhat,adv.,多少、几分,n.,某物、几分,no,0.997,5,0.002
southern,adj.,向南方的、来自南方的,n.,南方人、男风,no,0.720,0,0.000
sovereign,adj.,具有主权的、至高无上的、国王的,n.,元首、独立国,no,0.905,0,0.000
sow,v.,播种、散布、使密布,n.,母猪、懒胖女人,no,0.952,2,0.002
Spanish,adj.,西班牙的,n.,西班牙人、西班牙语,yes,0.890,0,0.000
spark,v.,闪光、发火花、求婚,n.,火花、火星、闪光,no,0.955,6,0.004
special,adj.,特别的、专门的、特殊的,n.,专辑、专车、号外,no,0.997,105,0.002
specific,adj.,特殊的、明确的、具有特效的,n.,特效药、特性,yes,0.975,150,0.025
split,v.,分离、分开、裂开,n.,劈开、裂片、裂缝,yes,0.662,2804,0.323
spoil,v.,损坏、破坏、溺爱,n.,战利品、赃物、奖品,yes,0.876,160,0.102
spread,v.,展开、铺开、传播,n.,传播、散布、伸展,yes,0.708,2431,0.288
sprout,v.,使发芽、摘去芽,n.,芽、萌芽,no,0.891,1,0.002
spur,v.,刺激、激励、用马刺策(马)前进,n.,马刺、刺激物、鼓舞,yes,0.939,9,0.020
squat,adj.,蹲着的、矮胖的,n.,蹲、窝,no,0.986,0,0.000
stable,adj.,稳定的、安定的、坚固的,n.,马房、牛棚,yes,0.940,239,0.059
stack,v.,堆积、堆满、暗中对...做手脚,n.,堆叠、堆、大量,no,0.889,5,0.003
stain,v.,沾染、染污、着色,n.,污染、污点、着色剂,no,0.980,0,0.000
stale,adj.,不新鲜的、陈腐的、疲惫的,n.,尿,no,0.982,0,0.000
stall,v.,关入厩、停顿、推托,n.,厩、停车处、牧师职位,yes,0.995,0,0.000
stammer,n.,口吃、结巴,v.,口吃、结结巴巴地说,yes,0.651,28,0.112
stand,v.,站、立、坐落,n.,站立、站住、停顿,yes,0.813,6646,0.187
start,v.,开始、出发、启动,n.,惊起、出发、开端,yes,0.687,36507,0.307
startle,v.,吃惊、使惊愕,n.,惊愕、惊恐,yes,0.795,6,0.077
static,adj.,静态的、静止的、固有的,n.,静电、静电干扰,no,0.987,3,0.004
statue,n.,雕像,vt.,以雕像装饰,no,0.904,0,0.000
stay,v.,制止、延缓、坚持,n.,停留、逗留、制止,yes,0.846,1952,0.040
steep,adj.,险峻的、陡峭的、急剧升降的,n.,浸渍、悬崖,yes,0.957,28,0.014
stern,adj.,严厉的、严格的、坚定的,n.,尾部、船尾、臀,no,0.739,0,0.000
still,adv.,仍然、更、静止地,n.,蒸馏室、寂静、剧照,no,1.000,0,0.000
stir,v.,移动、摇动、激起,n.,骚动、轰动、搅动,no,0.996,6,0.002
stop,v.,停止、被塞住,n.,停止、车站、逗留,yes,0.788,11273,0.157
stout,n.,矮胖子、烈性啤酒,adj.,结实的、矮胖的、勇敢的,yes,0.737,46,0.121
stroll,v.,闲逛、漫步,n.,闲逛、漫步,no,0.995,0,0.000
stumble,v.,使绊倒、使困惑,n.,绊倒、蹒跚而行、失足,yes,0.684,152,0.312
subordinate,adj.,下级的、次要的、附属的,n.,属下、附属物,no,0.852,3,0.056
super,adj.,上等的、特大的、超级的,n.,跑龙套角色、冗员、特级品,no,0.692,1,0.000
superior,adj.,上级的、出众的、高傲的,n.,长者、占优势的人、上级,no,0.890,0,0.000
suspect,v.,怀疑、猜想,n.,被怀疑者、嫌疑犯,yes,0.668,1619,0.220
swallow,v.,咽、淹没、吞没,n.,燕子、吞咽、喉,yes,0.930,55,0.036
swamp,v.,淹没、击溃、清除,n.,沼泽、进退两难的困境,yes,0.891,43,0.066
sway,v.,摇动、支配、弄歪,n.,摇摆、影响力、支配,yes,0.925,27,0.037
sweet,adj.,甜的、芳香的、悦耳的,n.,甜蜜、糖果、情人,yes,0.902,687,0.036
Swiss,adj.,瑞士的、瑞士风格的,n.,瑞士人、瑞士腔调,no,0.846,9,0.005
switch,v.,转变、切换、摆动,n.,开关、电闸、转换,yes,0.671,1537,0.325
synthetic,adj.,综合(性)的、人造的、合成的,n.,合成物质,yes,0.965,12,0.028
tackle,v.,固定、处理、抓住,n.,工具、复滑车、滑车,no,0.998,6,0.001
talk,v.,讲话、演讲、说话,n.,谈话、交谈、会谈,yes,0.747,16668,0.252
tap,v.,轻打、轻敲、敲打出,n.,轻打、水龙头,yes,0.996,0,0.000
taper,v.,(使)一头逐渐变细、(使)逐渐减少,n.,带子操作工、小蜡烛、尖细,no,0.981,2,0.019
tear,v.,流泪、撕破、赶快,n.,泪滴、眼泪、撕,yes,0.975,16,0.005
tender,adj.,柔软的、嫩的,n.,投标、投标书,yes,0.897,136,0.059
tentative,adj.,试验性的、暂时的,n.,试验,yes,0.928,22,0.069
terminate,v.,结束、终止、满期,adj.,有结尾的、(可)结束的,no,1.000,0,0.000
thank,v.,谢谢、感谢,n.,谢意、感谢,no,1.000,0,0.000
tick,v.,滴答响、活动,n.,滴答声、一瞬间、壁虱,yes,0.713,766,0.267
token,adj.,象征的、表意的,n.,表征、记号、代币,no,0.990,0,0.000
torment,v.,使苦恼、纠缠、歪曲,n.,使人痛苦的东西、折磨者、苦痛,no,0.992,1,0.004
torpedo,v.,用鱼雷袭击、破坏,n.,鱼雷、水雷、地雷,yes,0.933,9,0.029
torture,v.,拷问、曲解、折磨,n.,拷问、苦闷,no,0.965,2,0.001
toss,v.,投掷、猛抬、摇荡,n.,投掷、抛、摇摆,no,0.990,6,0.004
tough,adj.,强硬的、艰苦的、坚固的,n.,恶棍,no,1.000,0,0.000
trace,v.,追踪、回溯、描绘,n.,痕迹、踪迹、微量,no,0.825,0,0.000
trample,v.,践踏、无视,n.,践踏(声)、蹂躏,yes,0.820,19,0.156
transient,adj.,短暂的、易变的、瞬变的,n.,瞬、短期居留者、过境鸟,yes,0.679,30,0.268
transplant,n.,移居者、移植,vt.,使移居、移植、使迁移,yes,0.936,57,0.043
tread,v.,踏、行走、交尾,n.,踏、步态、梯级,yes,0.937,46,0.058
tremble,v.,战栗、忧虑、摇晃,n.,战栗、颤抖,yes,0.669,28,0.178
triple,adj.,三倍的,n.,三倍数、三个一组,no,0.770,0,0.000
tuck,v.,打褶、卷起、挤进,n.,缝褶、活力、鼓声,no,0.947,7,0.005
turn,v.,使旋转、转弯、转动,n.,转弯、转动、旋转,yes,0.653,19583,0.347
ultimate,adj.,终极的、根本的、极限的,n.,终极、根本、顶点,no,0.933,0,0.000
ultrasonic,adj.,超音速的,n.,超声波,no,0.978,0,0.000
underestimate,v.,低估、看轻,n.,低估,yes,0.930,41,0.046
urge,v.,驱策、力劝、竭力主张,n.,冲动、推动力、迫切的要求,yes,0.655,532,0.343
use,v.,使用、利用、运用,n.,使用、习惯、使用价值,yes,0.779,14841,0.200
utmost,adj.,极度的、最远的,n.,极限、最大限度、极度,no,1.000,0,0.000
variable,adj.,可变的、不定的、易变的,n.,易变的事物、变数、可变物,no,0.976,3,0.007
vent,v.,发泄、排出、给...开孔,n.,排气口、出口、通风孔,no,0.958,1,0.002
very,adv.,非常、完全,adj.,真正的、恰好的、十足的,no,0.994,2382,0.005
wait,v.,等候、期待、延缓,n.,等待、等候,yes,0.943,2681,0.057
walk,v.,走路、步行、处世,n.,走、散步、步行,yes,0.727,8570,0.273
want,v.,要、希望、应该,n.,需要的东西、缺乏、贫困,no,0.993,1,0.000
wear,v.,穿着、戴、留(须、发等),n.,穿着、戴、使用,yes,0.900,1586,0.100
weave,v.,编织、组合、编排,n.,编法、织法、编织式样,yes,0.694,136,0.169
weekly,adj.,每周的、一周一次的、周刊的,n.,周刊、周报,no,0.905,8,0.004
well,adv.,很好地、适当地、好意地,n.,井、泉水、源泉,no,0.953,1492,0.003
western,adj.,向西方的、来自西方的、西方的,n.,西方人、西部片、西部小说,no,0.854,0,0.000
whistle,v.,吹口哨、鸣汽笛、发嘘嘘声,n.,口哨、汽笛、啸啸声,no,0.863,2,0.001
white,adj.,白色的、纯洁的、白种的,n.,白色、洁白、眼白,no,0.793,59,0.002
whole,adj.,所有的、完整的、完全的,n.,全部、全体、整体,yes,0.881,8309,0.118
wild,adj.,野性的、野蛮的、野生的,n.,荒野、荒地,no,0.878,0,0.000
will,v.,用意志的力量驱使、决意、愿意,n.,意志、决心、意愿,no,0.990,3209,0.004
wireless,adj.,无线的、无线电的,n.,无线电,yes,0.879,10,0.016
wish,v.,愿、想要、希望,n.,希望、愿望、祝愿,yes,0.790,3429,0.152
wonder,v.,惊奇、想知道,n.,奇迹、惊奇、惊愕,yes,0.746,4937,0.215
worry,v.,使烦恼、使焦虑、使苦恼,n.,担心、烦恼、忧虑,yes,0.875,3387,0.121
worse,adj.,更坏的、更恶劣的,n.,更坏的事、更恶劣的事、败局,no,0.974,0,0.000
worst,adj.,最坏的、最恶劣的、最不利的,n.,最坏、最坏的时候,no,0.978,0,0.000
worth,adj.,值...的、值得的,n.,价值、财产,yes,0.757,5349,0.139
worthy,adj.,有价值的、可敬的、值得的,n.,杰出人物,no,0.979,1,0.000
wrap,v.,包装、卷、缠绕,n.,外套、围巾、包裹物,yes,0.653,643,0.255
wrestle,v.,摔跤、搏斗、斗争,n.,摔跤、角力、扭斗,no,0.994,0,0.000
yellow,adj.,黄色的,n.,黄色,yes,0.774,1735,0.124
